"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","AutorabitExtId__c"
"a2BKU0000009wxc2AA","0058c00000BxeO9AAJ","false","HMDA Questionnaire","","010B70686B5547768D54530668190A55","false","false","true","","","","","","","","",""
"a2BKU0000009wxr2AA","0058c00000BxeO9AAJ","false","LOB Review","lobreview","027C217E211F4778B3496A6F0D4C1F55","false","false","false","","","","","","","","",""
"a2BKU0000009wxo2AA","0058c00000BxeO9AAJ","false","LOB-SBA-Loan-Pre","lobsba-loanpre","065E653D6D58421AB67438107A243B22","false","false","false","","","","","","","","",""
"a2BKU0000009wxq2AA","0058c00000BxeO9AAJ","false","LOB-SBA-Loan-Post","lobsba-loanpost","073479326E0F4E3A8C0F713F3B240932","false","false","false","","","","","","","","",""
"a2BKU0000009wxA2AQ","0058c00000BxeO9AAJ","false","Loan - Residential Mortgage Refinance - APAC","apac-res-mtg-refinance","096E450C3B0C4F4284601C447D765211","false","false","false","","","","","","","","",""
"a2BKU0000009wxh2AA","0058c00000BxeO9AAJ","false","First Draw Loan","first-draw-loan","09921610326271972","false","false","false","","","","","","","","",""
"a2BKU0000009wv12AA","0058c00000BxeO9AAJ","false","Commercial Accelerate Loan","comm-accel-loan","12091615577844223","false","false","false","","","comm-accel-loan","","","","","",""
"a2BKU0000009wxt2AA","0058c00000BxeO9AAJ","false","Small Business Forgiveness","sba-forgiv","194987166415","false","false","false","","","","","","","","",""
"a2BKU0000009wxB2AQ","0058c00000BxeO9AAJ","false","Loan - Residential Mortgage APAC - Primary UI","apac-res-mtg-defaultui","1D71277579024345943759185B486D66","false","false","false","","","","","","","","",""
"a2BKU0000009wvK2AQ","0058c00000BxeO9AAJ","false","clone","clone","21671598553323537","false","false","false","","","clone","Online Application","a2CKU0000009qBz2AI","","","",""
"a2BKU0000009wxd2AA","0058c00000BxeO9AAJ","false","Individual KYC","","257E6F756B4A425095602C163A0F4E31","false","false","true","","","","","","","","",""
"a2BKU0000009wxi2AA","0058c00000BxeO9AAJ","false","Second Draw Loan","second-draw-loan","31321610041032562","false","false","false","","","","","","","","",""
"a2BKU0000009wxb2AA","0058c00000BxeO9AAJ","false","CRA","","406D671A185344659B422A6E1E790811","false","false","true","","","","","","","","",""
"a2BKU0000009wxR2AQ","0058c00000Dk4fdAAB","false","Small Business Loan Online Application","small-business-loan-online-application","41241666029060795","false","false","false","","","portal-sbloan","Online Application","","","","",""
"a2BKU0000009wwi2AA","0058c00000BxeO9AAJ","false","OB Security Services","tmmg-OBSecurityServices00-00","42013006377047603","false","false","false","","a2GKU0000004WEa2AM","","","","","","",""
"a2BKU0000009wx72AA","0058c00000BxeO9AAJ","false","Deposit Ancillary Services","tm-deposit-a-74","42015437848862616","false","false","false","","","","","","","","",""
"a2BKU0000009ww92AA","0058c00000BxeO9AAJ","false","CD-Rom","tmmg-CDRom00-00","42024555182888674","false","false","false","","a2GKU0000004WE02AM","","","","","","",""
"a2BKU0000009wwp2AA","0058c00000BxeO9AAJ","false","Wire Incoming","tmmg-WireIncoming00-00","42027612952237912","false","false","false","","a2GKU0000004WEh2AM","","","","","","",""
"a2BKU0000009wwh2AA","0058c00000BxeO9AAJ","false","OB Book Transfer","tmmg-OBBookTransfer00-00","42028332044179256","false","false","false","","a2GKU0000004WEZ2A2","","","","","","",""
"a2BKU0000009wwR2AQ","0058c00000BxeO9AAJ","false","Overdraft","tmmg-Overdraft00-00","42039719763403573","false","false","false","","a2GKU0000004WEJ2A2","","","","","","",""
"a2BKU0000009ww02AA","0058c00000BxeO9AAJ","false","Online Banking","tmmg-OnlineBanking01-00","42043961427872817","false","false","false","","a2GKU0000004WDr2AM","","","","","","",""
"a2BKU0000009wun2AA","0058c00000BxeO9AAJ","false","MASTER-Loan","m-loan","42044771180104939","false","false","false","","","m-loan","","","","","",""
"a2BKU0000009wx52AA","0058c00000BxeO9AAJ","false","Retail Loan Application","portal-rl","42063034156622212","false","false","false","","","","Online Application","a2CKU0000009qC02AI","","","",""
"a2BKU0000009wur2AA","0058c00000BxeO9AAJ","false","Memo","memo","42064981524503220","false","false","false","","","memo","","","","","",""
"a2BKU0000009wug2AA","0058c00000BxeO9AAJ","false","Relationship - Individual","relationship-individual","42074912432256224","false","false","false","","","relationship-individual","","","","","",""
"a2BKU0000009wuX2AQ","0058c00000BxeO9AAJ","false","Deposit Product Details Maintenance","dep-pm-details","42075960643920713","false","false","false","","","dep-pm-details","","","","","",""
"a2BKU0000009wwP2AQ","0058c00000BxeO9AAJ","false","Pre-Encoded Rejects","tmmg-PreEncodedRejects00-00","42081221226117977","false","false","false","","a2GKU0000004WEH2A2","","","","","","",""
"a2BKU0000009wvA2AQ","0058c00000BxeO9AAJ","false","autoTest1","automation","42084424313188949","false","false","false","","","","","","","","",""
"a2BKU0000009wu22AA","0058c00000BxeO9AAJ","false","HVCRE","HVCRE","42088290342052409","false","false","true","","","","","","","","",""
"a2BKU0000009wv02AA","0058c00000BxeO9AAJ","false","Deposit Product Creation","dep-pc","42103181906180590","false","false","false","","","dep-pc","","","","","",""
"a2BKU0000009wwb2AA","0058c00000BxeO9AAJ","false","Wholesale Lockbox","tmmg-WholesaleLockbox00-00","42108932046797350","false","false","false","","a2GKU0000004WET2A2","","","","","","",""
"a2BKU0000009wvG2AQ","0058c00000BxeO9AAJ","false","DAO-Individual-KYC","dao-ind-kyc","42109377760315962","false","false","true","","","dao-ind-kyc","null","","Individual Account","null","null",""
"a2BKU0000009wwD2AQ","0058c00000BxeO9AAJ","false","ARP Setup","tmmg-ARPSetup00-00","42109442789852318","false","false","false","","a2GKU0000004WE42AM","","","","","","",""
"a2BKU0000009wvm2AA","0058c00000BxeO9AAJ","false","Deposit Product Questionnaire","","42124102390932389","false","false","true","","","","","","Business Account","","",""
"a2BKU0000009wvc2AA","0058c00000BxeO9AAJ","false","Small Business Retail Lending","","42128895100604846","false","false","true","","","","","","","","",""
"a2BKU0000009wwm2AA","0058c00000BxeO9AAJ","false","Return Deposited Item","tmmg-ReturnDepositedItem01-00","42133411758186930","false","false","false","","a2GKU0000004WEe2AM","","","","","","",""
"a2BKU0000009wxK2AQ","0058c00000BxeO9AAJ","false","Treasury Configuration","treasury-config","42143513379842577","false","false","false","","","","","","","","",""
"a2BKU0000009wuC2AQ","0058c00000BxeO9AAJ","false","Secured Small Business Loan Application","portal-sbl-secured","42144815564389495","false","false","false","","","portal-sbl-secured","","","","","",""
"a2BKU0000009wua2AA","0058c00000BxeO9AAJ","false","Deposit Ancillary Services Maintenance","dep-pm-ancillary-services","42154253801321945","false","false","false","","","dep-pm-ancillary-services","","","","","",""
"a2BKU0000009wwk2AA","0058c00000BxeO9AAJ","false","OB Information Reporting","tmmg-OBInformationReporting00-00","42161487210648280","false","false","false","","a2GKU0000004WEc2AM","","","","","","",""
"a2BKU0000009wvQ2AQ","0058c00000BxeO9AAJ","false","Retail Loan ADD","","42161599347242956","false","false","true","","","","","","","","",""
"a2BKU0000009wvP2AQ","0058c00000BxeO9AAJ","false","Session Redirect","session-redirect","42175376029357054","false","false","false","","","session-redirect","","","","Used to redirect the user that started the loan session to the actual loan record. (WILL BE REMOVED ONCE FALL RELEASE IS INSTALLED)","",""
"a2BKU0000009wwG2AQ","0058c00000BxeO9AAJ","false","ACH Direct Send","tmmg-ACHDirectSend00-00","42176513421434370","false","false","false","","a2GKU0000004WE72AM","","","","","","",""
"a2BKU0000009ww12AA","0058c00000BxeO9AAJ","false","Overdraft Protection","tmmg-OverdraftProtection01-00","42178474390866250","false","false","false","","a2GKU0000004WDs2AM","","","","","","",""
"a2BKU0000009wv82AA","0058c00000BxeO9AAJ","false","a2B79000000trJi","","42180675330014550","false","false","false","","","","","","","","",""
"a2BKU0000009wva2AA","0058c00000BxeO9AAJ","false","ACH Debit","tmmg-ACHDebit00-00","42182351739442362","false","false","false","","a2GKU0000004WE82AM","","","","","","",""
"a2BKU0000009wwX2AQ","0058c00000BxeO9AAJ","false","Check Printing","tmmg-CheckPrinting00-00","42182936697621246","false","false","false","","a2GKU0000004WEP2A2","","","","","","",""
"a2BKU0000009wu62AA","0058c00000BxeO9AAJ","false","HMDA Questionnaire","HMDA-questionnaire","42198546854157256","false","false","true","","","","","","","","",""
"a2BKU0000009wxG2AQ","0058c00000BxeO9AAJ","false","Loan - Card","card","42203562917068294","false","false","false","","a2GKU0000004WEi2AM","","","","","","",""
"a2BKU0000009wvi2AA","0058c00000BxeO9AAJ","false","HMDA Questionnaire","","42204668606398303","false","false","true","","","","","","","","",""
"a2BKU0000009wv72AA","0058c00000BxeO9AAJ","false","a2B79000000trJg","","42206089969663694","false","false","false","","","","","","","","",""
