"Id","OwnerId","IsDeleted","Name","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Primary_Button_Text__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","AutorabitExtId__c"
"a2DKU0000000WzL2AU","0058c00000BxeO9AAJ","false","183056","a2BKU0000009wv22AA","false","1625.0","a2EKU0000004okr2AA","a2EKU0000004okj2AA","00041619447513221","","","false","true","false","","","post-approval-team-members","<a href=""/a2GKU0000004WAZ"" target=""_blank"">Team Members</a>","",""
"a2DKU0000000XKd2AM","0058c00000BxeO9AAJ","false","184376","a2BKU0000009wxw2AA","false","1560.0","","a2EKU0000004p6x2AA","0004450706","","","false","false","false","","","loan-post-team-members-lob-pwc","<a href=""/"" target=""_blank""> </a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XFh2AM","0058c00000BxeO9AAJ","false","184070","a2BKU0000009wxm2AA","false","8.0","","a2EKU0000004p212AA","001448294D","","","false","false","false","","","lob-sba-paycheck-modification-category","<a href=""/"" target=""_blank""> </a>","{{IF=""A OR B OR C OR D OR E OR F""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Review""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Complete""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Hold""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000XKE2A2","0058c00000BxeO9AAJ","false","184351","a2BKU0000009wxh2AA","false","2.0","","a2EKU0000004p6Y2AQ","001D45295A","","","false","false","true","","","lobloanbooked-borrowing-structure-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XHh2AM","0058c00000BxeO9AAJ","false","184194","a2BKU0000009wxW2AQ","false","1.0","","a2EKU0000004p412AA","004B42503F","","","false","true","true","","","balance-information-approved-m-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XOE2A2","0058c00000BxeO9AAJ","false","184599","a2BKU0000009wxc2AA","false","20.0","","a2EKU0000004ozV2AQ","004D09501C","","","false","false","true","","","lobloanbooked-reg-o","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XLq2AM","0058c00000BxeO9AAJ","false","184451","a2BKU0000009wxi2AA","false","15.0","","a2EKU0000004p8A2AQ","005E07254E","","","false","true","false","","","post-editable-risk-ratingsummary-lob-pwc","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000XFV2A2","0058c00000BxeO9AAJ","false","184058","a2BKU0000009wxx2AA","false","10.0","","a2EKU0000004p1p2AA","0060637A65","","","false","false","false","","","reviewheader","<a href=""/"" target=""_blank""> </a>","",""
"a2DKU0000000X0B2AU","0058c00000BxeO9AAJ","false","183108","a2BKU0000009wv32AA","false","1510.0","a2EKU0000004omP2AQ","a2EKU0000004oln2AA","00731620937670249","","","false","false","false","","","booked-approved-details","<a href=""/a2GKU0000004WBB"" target=""_blank"">Approved Details</a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}",""
"a2DKU0000000WzN2AU","0058c00000BxeO9AAJ","false","183058","a2BKU0000009wv22AA","false","11000.0","","a2EKU0000004okn2AA","00871619447513222","","","false","false","false","","","post-approval-participations","<a href=""/a2GKU0000004WAd"" target=""_blank"">Participations</a>","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Is_Participation__c"" IS=""True""}}{{SHOW_ROUTE}}{{ENDIF}}",""
