"Id","OwnerId","IsDeleted","Name","nFORCE__Agreement_Text__c","nFORCE__Document__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Review_And_Accept_Document__c","nFORCE__Conditional_Display_Criteria_Context__c"
"a3VKU0000000jjc2AA","0058c00000BxeO9AAJ","false","E-Sign Agreement","I consent to receive electronic communications and transactions from nCino Demo Bank.","0155f000000Wb7d","a2EKU0000004ox92AA","26511666029077879","","true",""
"a3VKU0000000jjR2AQ","0058c00000BxeO9AAJ","false","Sample All In One Disclosure","Please review and accept the terms of this {0}.","0154S0000000tmq","a2EKU0000004ouC2AQ","42011415873586934","","true",""
"a3VKU0000000jjX2AQ","0058c00000BxeO9AAJ","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","x","a2EKU0000004ow62AA","42063010710328926","","false",""
"a3VKU0000000jjP2AQ","0058c00000BxeO9AAJ","false","Sample Consent","I consent to receive electronic communications and transactions from nCino Demo Bank.","4ergsad4gs","a2EKU0000004owc2AA","42236359093427903","","false",""
"a3VKU0000000jjT2AQ","0058c00000BxeO9AAJ","false","Credit Consent","I have read the {0} document and authorize Demo Bank to pull my credit.","0","a2EKU0000004owR2AQ","42394404889756043","","false",""
"a3VKU0000000jjV2AQ","0058c00000BxeO9AAJ","false","Sample Consent","I consent to receive electronic communications and transactions from nCino Demo Bank.","0","a2EKU0000004owT2AQ","42492542544276623","","false",""
"a3VKU0000000jjU2AQ","0058c00000BxeO9AAJ","false","Credit Consent","I agree to the credit consent report and authorize TigerStrike Bank to pull my credit.","0","a2EKU0000004owT2AQ","42579037291547076","","false",""
"a3VKU0000000jjQ2AQ","0058c00000BxeO9AAJ","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","x","a2EKU0000004ouC2AQ","42653973224039443","","false",""
"a3VKU0000000jjS2AQ","0058c00000BxeO9AAJ","false","Sample Route Terms","I, {0}, acknowledge that the above information is up-to-date and that {1} has reviewed {2}.","null","a2EKU0000004owA2AQ","42891312219419775","","false",""
"a3VKU0000000jjW2AQ","0058c00000BxeO9AAJ","false","Sample Consent","I consent to receive electronic communications and transactions from Demo Bank.","4ergsad4gs","a2EKU0000004owR2AQ","42965142988363175","","false",""
"a3VKU0000000jjb2AA","0058c00000BxeO9AAJ","false","Sample All In One Disclosure","Please review and accept the terms of this {0}.","0155f000000VvvX","a2EKU0000004ovx2AA","46251666029077878","","true",""
"a3VKU0000000jja2AA","0058c00000BxeO9AAJ","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","x","a2EKU0000004ovx2AA","76921666029077878","","false",""
"a3VKU0000000jjY2AQ","0058c00000BxeO9AAJ","false","Credit Consent","I have read the {0} document and authorize Demo Bank to pull my credit.","0","a2EKU0000004oxU2AQ","86211666029077877","","false",""
"a3VKU0000000jjZ2AQ","0058c00000BxeO9AAJ","false","Joint Intent","I agree to Joint Intent","0","a2EKU0000004oxU2AQ","86991666029077878","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Applying_with_Co_Applicant__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}","false",""
"a3VKU0000000jjJ2AQ","0058c00000BxeO9AAJ","false","Terms and Conditions","I acknowledge and agree to these {0}.","0153g000000EdiX","a2EKU0000004osE2AQ","a0O3g000000aj43EAA","","true",""
"a3VKU0000000jjK2AQ","0058c00000BxeO9AAJ","false","Privacy Policy","I have read this {0} and agree to its terms.","0153g000000EdiY","a2EKU0000004osE2AQ","a0O3g000000aj44EAA","","false",""
"a3VKU0000000jjL2AQ","0058c00000BxeO9AAJ","false","Terms and Conditons","I acknowledge and agree to these {0}.","0153g000000EdiX","a2EKU0000004otB2AQ","a0O3g000000aj4FEAQ","","true",""
"a3VKU0000000jjM2AQ","0058c00000BxeO9AAJ","false","Privacy Policy","I have read this {0} and agree to its terms.","0153g000000EdiY","a2EKU0000004otB2AQ","a0O3g000000aj4GEAQ","","false",""
"a3VKU0000000jjN2AQ","0058c00000BxeO9AAJ","false","Terms and Conditons","I acknowledge and agree to these {0}.","0153g000000EdiX","a2EKU0000004ot62AA","a0O3g000000aj4HEAQ","","true",""
"a3VKU0000000jjO2AQ","0058c00000BxeO9AAJ","false","Privacy Policy","I have read this {0} and agree to its terms.","0153g000000EdiY","a2EKU0000004ot62AA","a0O3g000000aj4IEAQ","","false",""
