"Id","OwnerId","IsDeleted","Name","nFORCE__Order__c","nFORCE__Route__c","nFORCE__Tile__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a3WKU000000QmDG2A0","0058c00000BxeO9AAJ","false","RT-001644","20.0","a2EKU0000004ojW2AQ","a3XKU000000Gzfv2AC","42120743676366804",""
"a3WKU000000QmDS2A0","0058c00000BxeO9AAJ","false","RT-001656","10.0","a2EKU0000004oha2AA","a3XKU000000Gzfw2AC","42183052711966527",""
"a3WKU000000QmDJ2A0","0058c00000BxeO9AAJ","false","RT-001647","527.0","a2EKU0000004oen2AA","a3XKU000000Gzfy2AC","424716680425130250",""
"a3WKU000000QmDI2A0","0058c00000BxeO9AAJ","false","RT-001646","719001.0","a2EKU0000004oen2AA","a3XKU000000Gzfx2AC","42567797961436229",""
"a3WKU000000QmDK2A0","0058c00000BxeO9AAJ","false","RT-001648","125.0","a2EKU0000004oen2AA","a3XKU000000Gzfz2AC","42581099535061644",""
"a3WKU000000QmDQ2A0","0058c00000BxeO9AAJ","false","RT-001654","1.0","a2EKU0000004owS2AQ","a3XKU000000Gzg32AC","42824735316942135",""
"a3WKU000000QmDP2A0","0058c00000BxeO9AAJ","false","RT-001653","10.0","a2EKU0000004owc2AA","a3XKU000000Gzg22AC","42834282691044087",""
"a3WKU000000QmDF2A0","0058c00000BxeO9AAJ","false","RT-001643","1.0","a2EKU0000004odD2AQ","a3XKU000000Gzfu2AC","42850608042426104",""
"a3WKU000000QmDH2A0","0058c00000BxeO9AAJ","false","RT-001645","250.0","a2EKU0000004oaT2AQ","a3XKU000000Gzfw2AC","42970473641799781",""
"a3WKU000000QmDR2A0","0058c00000BxeO9AAJ","false","RT-001655","1.0","a2EKU0000004oxA2AQ","a3XKU000000Gzg32AC","91461666029077574",""
"a3WKU000000QmDL2A0","0058c00000BxeO9AAJ","false","RT-001649","0.0","a2EKU0000004osB2AQ","a3XKU000000Gzg12AC","a0h3g000000bntuAAA",""
"a3WKU000000QmDM2A0","0058c00000BxeO9AAJ","false","RT-001650","1.0","a2EKU0000004osB2AQ","a3XKU000000Gzg02AC","a0h3g000000bntxAAA",""
"a3WKU000000QmDN2A0","0058c00000BxeO9AAJ","false","RT-001651","1.0","a2EKU0000004osE2AQ","a3XKU000000Gzg02AC","a0h3g000000bnu0AAA",""
"a3WKU000000QmDO2A0","0058c00000BxeO9AAJ","false","RT-001652","1.0","a2EKU0000004osC2AQ","a3XKU000000Gzg02AC","a0h3g000000bnu3AAA",""
