"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","AutorabitExtId__c","nFORCE__Taxonomy_Id__c","nFORCE__Parameters__c","nFORCE__Body_Type__c","nFORCE__Description__c"
"a2EKU0000004owa2AA","0058c00000BxeO9AAJ","false","Review and Submit","atbk-booking-review-submit-deposit","atbk__reviewsubmit","","n-icon-entity","false","nforce__navigation","","","a2GKU0000004WCw2AM","nforce__sub_navigation","","nforce__topbar","001E287401674A6AB9692C79331F4B17","","atbk-booking-review-submit-deposit","","",""
"a2EKU0000004omO2AQ","0058c00000BxeO9AAJ","false","Fees","booked-fees","nforce__blank","","n-icon-relationship","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","00391620937670675","","booked-fees","","",""
"a2EKU0000004p1F2AQ","0058c00000BxeO9AAJ","false","Collateral","lob-loan-post-collateral2","LLC_BI__Collateral_2_Management","","n-icon-collateral","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","005370332B394716925D7705720C4E01","","lob-loan-post-collateral2","","",""
"a2EKU0000004ol22AA","0058c00000BxeO9AAJ","false","Compliance","post-approval-compliance","llc_bi__hmda_applicants","","n-icon-hmda","false","nforce__navigation","","","a2GKU0000004WAm2AM","nforce__sub_navigation","","nforce__topbar","00581619447513732","","post-approval-compliance","","",""
"a2EKU0000004omA2AQ","0058c00000BxeO9AAJ","false","Budget Administration","booked-budget-administration2","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","01581620937670667","","booked-budget-administration2","","",""
"a2EKU0000004ox42AA","0058c00000BxeO9AAJ","false","Authorized Signers","small-business-loan-post-approval-ui-authorized-signers","llc_bi__multitierinvolvement","","n-icon-loan","false","nFORCE__navigation","","","a2GKU0000004WCa2AM","nFORCE__sub_navigation","","nforce__topbar","01761663700623998","","retail-loan-ui-application","","",""
"a2EKU0000004okh2AA","0058c00000BxeO9AAJ","false","Fees Summary","post-approval-fees-summary","nforce__ncdatagrid","","","false","nforce__navigation","","","a2GKU0000004WAX2A2","nforce__sub_navigation","","nforce__topbar","01981619447513720","","post-approval-fees-summary","","",""
"a2EKU0000004otF2AQ","0058c00000BxeO9AAJ","false","Order Entry","tm-oe-13deposit-a-13","nforce__ncdatagrid","","n-icon-treasury_management","false","nforce__navigation","","","a2GKU0000004WFP2A2","nforce__sub_navigation","","nforce__topbar","020166758","","","","",""
"a2EKU0000004ol02AA","0058c00000BxeO9AAJ","false","Covenants","post-approval-covenants","llc_bi__loancovenantrelatedlist","","n-icon-covenant","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","02061619447513731","","post-approval-covenants","","",""
"a2EKU0000004ouT2AQ","0058c00000BxeO9AAJ","false","Automated Booking Summary","atbk-booking-summary-deposit","atbk__summary","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","02306B4D724A4B62B46F517142067F34","","atbk-booking-summary-deposit","","",""
