"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a2FKU0000004vyj2AA","false","Loan Compliance","a2GKU0000004WDV2A2","false","false","false","true","false","15.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","000008EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c","false","false","","","","","false","false","","a2FKa000000SizPMAS"
"a2FKU0000004vyk2AA","false","Loan Compliance","a2GKU0000004WD82AM","false","false","true","true","false","15.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","000009EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c","false","false","","","","","false","false","","a2FKa000000SizRMAS"
"a2FKU0000004vvy2AA","false","SBL Eligibility Business","a2GKU0000004WCd2AM","false","false","false","false","false","10.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","00201666029075344","Account","false","false","","","","","false","false","","a2FKa000000SDn4MAG"
"a2FKU0000004vu02AA","false","Participations","a2GKU0000004WBC2A2","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","00551620937672162","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDl1MAG"
"a2FKU0000004vvX2AQ","false","Risk Ratings","a2GKU0000004W9t2AE","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectHierarchyScreenResource","","00601585604341051","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDmdMAG"
"a2FKU0000004von2AA","false","Enhanced Fees Management","a2GKU0000004WCR2A2","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","00741663700625418","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDfhMAG"
"a2FKU0000004vxB2AQ","false","Third Party Reports","a2GKU0000004WBA2A2","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","01211620937672162","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDoKMAW"
"a2FKU0000004vv12AA","false","Rate Structure","a2GKU0000004WBV2A2","false","false","true","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","01391620937672158","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDm7MAG"
"a2FKU0000004vi12AA","false","Balance Details","a2GKU0000004W9w2AE","false","false","false","true","false","3.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","01481585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","a2F8c00000434msEAA"
"a2FKU0000004vyB2AQ","false","Underwriting_Overview","a2GKU0000004WCT2A2","false","false","true","true","false","60.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","01721663700625422","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDpKMAW"
"a2FKU0000004vu82AA","false","Payment Structure","a2GKU0000004WAv2AM","false","false","true","true","false","1.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","02101619447515170","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDl9MAG"
"a2FKU0000004vxR2AQ","false","UI Collateral Record Schedule","a2GKU0000004WAj2AM","false","false","false","false","false","","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","02231619447515164","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","a2FKa000000SDoaMAG"
"a2FKU0000004vpX2AQ","false","Fees Summary","a2GKU0000004WAX2A2","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","03071619447515171","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDgUMAW"
