"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c","nFORMS__Document_Output_Type__c"
"a5rWD000000C7grYAC","005al00000RVcKvAAL","false","Test-QA-FormTemplate","Test","true","true","","General","true","pdf","Inches","","Form","false","HTML","123456796123","PDF"
"a5rWD000000C7gsYAC","005al00000RVcKvAAL","false","QA-Lightning-FormsTemplate002-Name","","true","true","","General","true","Test","Inches","","Account","true","HTML","123875271856312","PDF"
"a5rWD000000C7gtYAC","005al00000RVcKvAAL","false","QA-Lightning-FormsManager-002","","true","true","","General","true","DocumentType_Output","Inches","","Account","true","HTML","127652138712836","HTML"
"a5rWD000000C7guYAC","005al00000RVcKvAAL","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.2081E+16","HTML"
"a5rWD000000C7gvYAC","005al00000RVcKvAAL","false","FM032 Short Form Review","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2391E+16","Word"
"a5rWD000000C7gwYAC","005al00000RVcKvAAL","false","FM065 DS1 Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24733E+16","Word"
"a5rWD000000C7gxYAC","005al00000RVcKvAAL","false","FM036 Borrowers Application Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25126E+16","Word"
"a5rWD000000C7gyYAC","005al00000RVcKvAAL","false","Standard Commercial Short Form","Use this credit template for standard commercial loans.","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.27392E+16","HTML"
"a5rWD000000C7gzYAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","","true","true","","General","false","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","4.27849E+16","Word"
"a5rWD000000C7h0YAC","005al00000RVcKvAAL","false","Test-QA-Forms","Test-QA-Forms","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","42038829409225603","HTML"
"a5rWD000000C7h1YAC","005al00000RVcKvAAL","false","FM032 Short Form Review","","true","true","","General","false","Word","Inches","","Account","false","Word","42391045522310857","Word"
"a5rWD000000C7h2YAC","005al00000RVcKvAAL","false","FM065 DS1 Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42473251223102654","Word"
"a5rWD000000C7h3YAC","005al00000RVcKvAAL","false","FM036 Borrowers Application Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42512632526657158","Word"
"a5rWD000000C7h4YAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","","true","true","","General","false","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","42784911129475881","Word"
"a5rWD000000C7h5YAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1s5f000000mhq5AAA","Word"
"a5rWD000000C7h6YAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1s5f000000tCO9AAM","PDF"
"a5rWD000000C7h7YAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1s8c000007f8yFAAQ","Word"
"a5rWD000000C7h8YAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1sHo00000cSqpFIAS","Word"
"a5rWD000000C7h9YAC","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","Use this form to remove Treasury Services","false","false","","General","true","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","a1sHu0000076r1mIAA","Word"
"a5rWD000000C7hAYAS","005al00000RVcKvAAL","false","FM045 Personal Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","4.20206E+16","Word"
"a5rWD000000C7hBYAS","005al00000RVcKvAAL","false","FM055 Prec Joint & Several Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20424E+16","Word"
"a5rWD000000C7hCYAS","005al00000RVcKvAAL","false","LT018 Removal of Financial Covenant","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20559E+16","Word"
"a5rWD000000C7hDYAS","005al00000RVcKvAAL","false","FM075 Trust Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20719E+16","Word"
"a5rWD000000C7hEYAS","005al00000RVcKvAAL","false","LT014 Consent to Lease","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2071E+16","Word"
"a5rWD000000C7hFYAS","005al00000RVcKvAAL","false","FM072 Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20774E+16","Word"
"a5rWD000000C7hGYAS","005al00000RVcKvAAL","false","FM051 Prec Cross Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20821E+16","Word"
"a5rWD000000C7hHYAS","005al00000RVcKvAAL","false","FM027 Indicative Offer","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20938E+16","Word"
"a5rWD000000C7hIYAS","005al00000RVcKvAAL","false","LT019 Undertaking/Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2098E+16","Word"
"a5rWD000000C7hJYAS","005al00000RVcKvAAL","false","LT004 Redemption Statement","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21035E+16","Word"
"a5rWD000000C7hKYAS","005al00000RVcKvAAL","false","FM074 Trust Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21088E+16","Word"
"a5rWD000000C7hLYAS","005al00000RVcKvAAL","false","Third Party Report","","true","true","","General","false","Word","Inches","","LLC_BI__third_party_report__c","false","Word","4.21301E+16","Word"
"a5rWD000000C7hMYAS","005al00000RVcKvAAL","false","FM071 Precedent CP Schedule","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21815E+16","Word"
"a5rWD000000C7hNYAS","005al00000RVcKvAAL","false","LT015 Fin Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21909E+16","Word"
"a5rWD000000C7hOYAS","005al00000RVcKvAAL","false","LT021 Consent to Security","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2198E+16","Word"
"a5rWD000000C7hPYAS","005al00000RVcKvAAL","false","Small Business Credit Memo - TEST","","true","true","","Credit Memo","false","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.22163E+16","HTML"
"a5rWD000000C7hQYAS","005al00000RVcKvAAL","false","FM013 Third Party report Request","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.22676E+16","Word"
"a5rWD000000C7hRYAS","005al00000RVcKvAAL","false","Modification Request","Modification Template","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","true","HTML","4.22876E+16","HTML"
"a5rWD000000C7hSYAS","005al00000RVcKvAAL","false","FM052 Prec Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23218E+16","Word"
"a5rWD000000C7hTYAS","005al00000RVcKvAAL","false","FM070 B2L Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23228E+16","Word"
"a5rWD000000C7hUYAS","005al00000RVcKvAAL","false","Jay Test","","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.23431E+16","HTML"
"a5rWD000000C7hVYAS","005al00000RVcKvAAL","false","FM076 Business Profile Additional info","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24092E+16","Word"
