"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWE000009dtS92AI","false","CLA-BD-0001557","a1WWE000004zw3K2AQ","","Hard cost","Landscaping","","250.0","","","","","02eswj73js99umg1vc","0.0","","0.0","0.0"
"a1UWE000009dtSA2AY","false","CLA-BD-0001558","a1WWE000004zHTa2AM","","Hard cost","Gutters and Downspouts","","140.0","","","","","077la94tgch2xw1r50","0.0","","","0.0"
"a1UWE000009dtSB2AY","false","CLA-BD-0001559","a1WWE000004zHTb2AM","1200.0","Soft cost","Permits / Fees","","10.0","","","","","07iktk76gpjzem8txw","0.0","100.0","","1200.0"
"a1UWE000009dtSC2AY","false","CLA-BD-0001560","a1WWE000004zHTd2AM","","Hard cost","Shingles","","211.0","","","","","0ac6h743h6ur16ecqu","0.0","","","0.0"
"a1UWE000009dtSD2AY","false","CLA-BD-0001561","a1WWE000004zw3Y2AQ","","","Stairs","","110.0","","","","","0cb3l7aexh2jummpbu","0.0","","0.0","0.0"
"a1UWE000009dtSE2AY","false","CLA-BD-0001562","a1WWE000004zHTa2AM","850.0","Soft cost","Surveys","","11.0","","","","","0dspxzlayab0a1vv0r","0.0","100.0","","850.0"
"a1UWE000009dtSF2AY","false","CLA-BD-0001563","a1WWE000004zw3K2AQ","","Soft cost","Bonds & Insurance","","6.0","","","","","0k1rh0jhewymbgej1e","0.0","","0.0","0.0"
"a1UWE000009dtSG2AY","false","CLA-BD-0001564","a1WWE000004zHTf2AM","","","Water Pump","","80.0","","","","","0kifxe0sc23zfovsyq","0.0","","","0.0"
"a1UWE000009dtSH2AY","false","CLA-BD-0001565","a1WWE000004zw3Y2AQ","","","Steel","","50.0","","","","","0m3h6jm084u88tpgvr","0.0","","0.0","0.0"
"a1UWE000009dtSI2AY","false","CLA-BD-0001566","a1WWE000004zHTe2AM","5000.0","Soft cost","Commission & Fees","","510.0","","","","","0pwhz9wi5tosx4s61j","0.0","100.0","","5000.0"
"a1UWE000009dtSJ2AY","false","CLA-BD-0001567","a1WWE000004zw3I2AQ","900.0","","Impact Fees","","20.0","","","","","0qwxgpyr1699ph3zky","0.0","100.0","0.06","900.0"
"a1UWE000009dtSK2AY","false","CLA-BD-0001568","a1WWE000004zw3J2AQ","67500.0","","Painting","","210.0","","","","","0su63lv8ep8egz51ff","0.0","100.0","4.5","67500.0"
"a1UWE000009dtSL2AY","false","CLA-BD-0001569","a1WWE000004zw3K2AQ","","Hard cost","Painting","","210.0","","","","","0t16qe1fc0w5o970jq","0.0","","0.0","0.0"
"a1UWE000009dtSM2AY","false","CLA-BD-0001570","a1WWE000004zw3Y2AQ","","","Siding","","130.0","","","","","0x0a1d4jew8g8dqjql","0.0","","0.0","0.0"
"a1UWE000009dtSN2AY","false","CLA-BD-0001571","a1WWE000004zw3I2AQ","8000.0","","Electrical","","160.0","","","","","118wh8tgz0p8h8zy7h","0.0","100.0","0.5333","8000.0"
"a1UWE000009dtSO2AY","false","CLA-BD-0001572","a1WWE000004zw3J2AQ","850.0","","Surveys","","11.0","","","","","12st9rzg9cc3yptx5i","0.0","100.0","0.0567","850.0"
"a1UWE000009dtSP2AY","false","CLA-BD-0001573","a1WWE000004zw3W2AQ","50000.0","Hard cost","Plumbing","","150.0","","","","0.0","13njzml60u9p8l3783","0.0","100.0","3.3333","50000.0"
"a1UWE000009dtSQ2AY","false","CLA-BD-0001574","a1WWE000004zHTd2AM","550.0","Soft cost","Surveys","","501.0","","","","","1516aiydques6zylkp","0.0","100.0","","550.0"
"a1UWE000009dtSR2AY","false","CLA-BD-0001575","a1WWE000004zHTe2AM","","Hard cost","Doors","","212.0","","","","","1e883ba1xdyxe9ugyd","0.0","","","0.0"
"a1UWE000009dtSS2AY","false","CLA-BD-0001576","a1WWE000004zw3I2AQ","800.0","","Water & Sewer Inspection","","30.0","","","","","1fh74hg0mkihq7o9q2","0.0","100.0","0.0533","800.0"
"a1UWE000009dtST2AY","false","CLA-BD-0001577","a1WWE000004zHTa2AM","","Hard cost","HVAC","","180.0","","","","","1mblcygaxd64ioxdjx","0.0","","","0.0"
"a1UWE000009dtSU2AY","false","CLA-BD-0001578","a1WWE000004zHTa2AM","","Soft cost","Architectural & Engineering","","2.0","","","","","1qzf3txc45cp1q084l","0.0","","","0.0"
"a1UWE000009dtSV2AY","false","CLA-BD-0001579","a1WWE000004zHTb2AM","","Hard cost","Insulation","","190.0","","","","","1r3u13md22mtywk87p","0.0","","","0.0"
"a1UWE000009dtSW2AY","false","CLA-BD-0001580","a1WWE000004zw3J2AQ","85000.0","","Tile & Carpet","","230.0","","","","","1u773ylypqs3p21s5c","0.0","100.0","5.6667","85000.0"
"a1UWE000009dtSX2AY","false","CLA-BD-0001581","a1WWE000004zw3W2AQ","64100.0","Hard cost","Framing & Trusses","","60.0","","","","0.0","1xzk3aoi3l1xo8lmdd","0.0","100.0","4.2733","64100.0"
"a1UWE000009dtSY2AY","false","CLA-BD-0001582","a1WWE000004zw3X2AQ","1200.0","","Permits / Fees","","10.0","0.0","","","900.0","246l4or91vsp542g7o","75.0","25.0","0.0649","300.0"
"a1UWE000009dtSZ2AY","false","CLA-BD-0001583","a1WWE000004zw3W2AQ","","Hard cost","Siding","","130.0","","","","","25z4m1wwon3cak9y56","0.0","","0.0","0.0"
