"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0oWE00000C5wOHYAZ","005al00000RVvFOAA1","false","DocMan","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-24T10:48:18.000Z","005al00000RVvFOAA1","2026-08-24T10:48:18.000Z","","","","","132h4hk5123498yhfoin"
"a0oWE00000C5wNpYAJ","005al00000RVcKvAAL","false","Loan Decisioning","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42036220080364727"
"a0oWE00000C5wNqYAJ","005al00000RVcKvAAL","false","Retrieve Pricing Options","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","Create the pricing option(s) based on information in the Loan.","42064981411428099"
"a0oWE00000C5wOGYAZ","005al00000RVcKvAAL","false","Pricing Options","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42089961001116585"
"a0oWE00000CEntCYAT","005al00000RVcKvAAL","false","Construction Loan Administration","2026-07-20T15:34:33.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42106976230413220"
"a0oWE00000C5wOCYAZ","005al00000RVcKvAAL","false","Contruction Loan Administration","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42115817145944385"
"a0oWE00000C5wOOYAZ","005al00000RVvFOAA1","false","Loan Policy Exception","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-24T10:48:18.000Z","005al00000RVvFOAA1","2026-08-24T10:48:18.000Z","","","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658"
"a0oWE00000C5wNrYAJ","005al00000RVcKvAAL","false","Proposed Pricing Option","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","Create the proposed pricing option based on information in the loan.","42215523819185420"
"a0oWE00000CEntHYAT","005al00000RVcKvAAL","false","Pricing Options","2026-07-20T15:34:33.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42260555746068736"
"a0oWE00000C5wNsYAJ","005al00000RVcKvAAL","false","Pricing Options","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42281826358127939"
"a0oWE00000C5wOPYAZ","005al00000RVcKvAAL","false","Construction Loan Administration","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42287488552732632"
"a0oWE00000C5wODYAZ","005al00000RVcKvAAL","false","Credit Request","2026-06-25T06:29:33.000Z","005al00000RVcKvAAL","2026-08-20T12:39:50.000Z","005al00000RVvFOAA1","2026-08-20T12:39:50.000Z","","","","The Context for Credit Request Rules","42331471435935127"
