"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011L53YAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","01081666029078575"
"a0bWD0000011LCNYA2","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TableLayout","","","","01681619447516419"
"a0bWD0000011MWuYAM","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-24T08:44:09.000Z","005al00000RVvFOAA1","2026-08-24T08:44:09.000Z","","Html.Layouts.TwoColumnGrid","","","","03681641354326563"
"a0bWD0000011MWvYAM","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-24T08:44:09.000Z","005al00000RVvFOAA1","2026-08-24T08:44:09.000Z","","Html.Layouts.TwoColumnGrid","","","","04001641831942815"
"a0bWD0000011MWwYAM","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-24T08:44:09.000Z","005al00000RVvFOAA1","2026-08-24T08:44:09.000Z","","Html.Layouts.TwoColumnGrid","","","","04271641831942814"
"a0bWD0000011LCOYA2","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TableLayout","","","","04431620937673263"
"a0bWD0000011LCPYA2","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","06041619447516421"
"a0bWD0000011LfrYAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:09.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","06771663700626753"
"a0bWD0000011LCQYA2","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","06951620937673263"
"a0bWD0000011LfsYAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:09.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TwoColumnGrid","","","","07351640791249090"
