"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c","nFORMS__Document_Output_Type__c"
"a5rWD000000C8rRYAS","005al00000RVcKvAAL","false","Test-QA-FormTemplate","Test","true","true","","General","true","pdf","Inches","","Form","false","HTML","123456796123","PDF"
"a5rWD000000C8rSYAS","005al00000RVcKvAAL","false","QA-Lightning-FormsTemplate002-Name","","true","true","","General","true","Test","Inches","","Account","true","HTML","123875271856312","PDF"
"a5rWD000000C8rTYAS","005al00000RVcKvAAL","false","QA-Lightning-FormsManager-002","","true","true","","General","true","DocumentType_Output","Inches","","Account","true","HTML","127652138712836","HTML"
"a5rWD000000C8rkYAC","005al00000RVcKvAAL","false","FM045 Personal Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","4.20206E+16","Word"
"a5rWD000000C8rlYAC","005al00000RVcKvAAL","false","FM055 Prec Joint & Several Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20424E+16","Word"
"a5rWD000000C8rmYAC","005al00000RVcKvAAL","false","LT018 Removal of Financial Covenant","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20559E+16","Word"
"a5rWD000000C8rnYAC","005al00000RVcKvAAL","false","FM075 Trust Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20719E+16","Word"
"a5rWD000000C8roYAC","005al00000RVcKvAAL","false","LT014 Consent to Lease","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2071E+16","Word"
"a5rWD000000C8rpYAC","005al00000RVcKvAAL","false","FM072 Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20774E+16","Word"
"a5rWD000000C8rUYAS","005al00000RVcKvAAL","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.2081E+16","HTML"
"a5rWD000000C8rqYAC","005al00000RVcKvAAL","false","FM051 Prec Cross Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20821E+16","Word"
"a5rWD000000C8rrYAC","005al00000RVcKvAAL","false","FM027 Indicative Offer","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20938E+16","Word"
"a5rWD000000C8rsYAC","005al00000RVcKvAAL","false","LT019 Undertaking/Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2098E+16","Word"
"a5rWD000000C8rtYAC","005al00000RVcKvAAL","false","LT004 Redemption Statement","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21035E+16","Word"
"a5rWD000000C8ruYAC","005al00000RVcKvAAL","false","FM074 Trust Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21088E+16","Word"
"a5rWD000000C8rvYAC","005al00000RVcKvAAL","false","Third Party Report","","true","true","","General","false","Word","Inches","","LLC_BI__third_party_report__c","false","Word","4.21301E+16","Word"
"a5rWD000000C8rwYAC","005al00000RVcKvAAL","false","FM071 Precedent CP Schedule","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21815E+16","Word"
"a5rWD000000C8rxYAC","005al00000RVcKvAAL","false","LT015 Fin Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21909E+16","Word"
"a5rWD000000C8ryYAC","005al00000RVcKvAAL","false","LT021 Consent to Security","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2198E+16","Word"
"a5rWD000000C8rzYAC","005al00000RVcKvAAL","false","Small Business Credit Memo - TEST","","true","true","","Credit Memo","false","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.22163E+16","HTML"
"a5rWD000000C8s0YAC","005al00000RVcKvAAL","false","FM013 Third Party report Request","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.22676E+16","Word"
"a5rWD000000C8s1YAC","005al00000RVcKvAAL","false","Modification Request","Modification Template","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","true","HTML","4.22876E+16","HTML"
"a5rWD000000C8s2YAC","005al00000RVcKvAAL","false","FM052 Prec Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23218E+16","Word"
"a5rWD000000C8s3YAC","005al00000RVcKvAAL","false","FM070 B2L Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23228E+16","Word"
"a5rWD000000C8s4YAC","005al00000RVcKvAAL","false","Jay Test","","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.23431E+16","HTML"
"a5rWD000000C8rVYAS","005al00000RVcKvAAL","false","FM032 Short Form Review","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2391E+16","Word"
"a5rWD000000C8s5YAC","005al00000RVcKvAAL","false","FM076 Business Profile Additional info","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24092E+16","Word"
"a5rWD000000C8s6YAC","005al00000RVcKvAAL","false","LT020 Undertaking/Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24464E+16","Word"
"a5rWD000000C8s7YAC","005al00000RVcKvAAL","false","LT022 Consent to Security follow up","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24643E+16","Word"
"a5rWD000000C8rWYAS","005al00000RVcKvAAL","false","FM065 DS1 Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24733E+16","Word"
"a5rWD000000C8s8YAC","005al00000RVcKvAAL","false","FM061 Board Minutes","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24795E+16","Word"
"a5rWD000000C8s9YAC","005al00000RVcKvAAL","false","LT023 Cert of Covenant Compliance","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24897E+16","Word"
"a5rWD000000C8sAYAS","005al00000RVcKvAAL","false","LT017 Letter of Non Crystalisation","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24958E+16","Word"
"a5rWD000000C8sBYAS","005al00000RVcKvAAL","false","FM056 Prec Legal Charge B2L","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25084E+16","Word"
"a5rWD000000C8rXYAS","005al00000RVcKvAAL","false","FM036 Borrowers Application Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25126E+16","Word"
"a5rWD000000C8sCYAS","005al00000RVcKvAAL","false","FM068 Sole Director Resolution","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25171E+16","Word"
"a5rWD000000C8sDYAS","005al00000RVcKvAAL","false","FM069 B2L Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25281E+16","Word"
"a5rWD000000C8sEYAS","005al00000RVcKvAAL","false","FM066 Report on Title","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25508E+16","Word"
"a5rWD000000C8sFYAS","005al00000RVcKvAAL","false","LT005 Decline Letter","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2569E+16","Word"
"a5rWD000000C8sGYAS","005al00000RVcKvAAL","false","FM058 Prec Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.259E+16","Word"
"a5rWD000000C8sHYAS","005al00000RVcKvAAL","false","FM067 Board Resolution","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.26561E+16","Word"
"a5rWD000000C8sIYAS","005al00000RVcKvAAL","false","IN009 Watchlist 2a Action Plan","","true","true","","General","false","Word","Inches","","Account","false","Word","4.26612E+16","Word"
"a5rWD000000C8sJYAS","005al00000RVcKvAAL","false","FM073 Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.26889E+16","Word"
"a5rWD000000C8sKYAS","005al00000RVcKvAAL","false","Boarding Data Sheet","Loan Boarding Data Sheet","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27204E+16","Word"
"a5rWD000000C8rYYAS","005al00000RVcKvAAL","false","Standard Commercial Short Form","Use this credit template for standard commercial loans.","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.27392E+16","HTML"
"a5rWD000000C8sLYAS","005al00000RVcKvAAL","false","FM059 Prec Sub Deed Multiple Loans","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27434E+16","Word"
"a5rWD000000C8sMYAS","005al00000RVcKvAAL","false","LT013 Valuation Instruction","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27494E+16","Word"
"a5rWD000000C8sNYAS","005al00000RVcKvAAL","false","Consumer Adverse Action- Co-Borrowers","","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27658E+16","PDF"
"a5rWD000000C8sOYAS","005al00000RVcKvAAL","false","FM053 Prec Deed of Priority: Legal Mortgage","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27804E+16","Word"
"a5rWD000000C8sPYAS","005al00000RVcKvAAL","false","Small Business Credit Memo","Credit Memo for all Small Business loans","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","4.27824E+16","HTML"
"a5rWD000000C8rZYAS","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","","true","true","","General","false","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","4.27849E+16","Word"
"a5rWD000000C8sQYAS","005al00000RVcKvAAL","false","FM049 Prec Intercreditor Deed","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27946E+16","Word"
"a5rWD000000C8sRYAS","005al00000RVcKvAAL","false","LT016 Fin Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.28262E+16","Word"
"a5rWD000000C8sSYAS","005al00000RVcKvAAL","false","Executive Pricing Summary","","true","true","","General","false","Word","Inches","","LLC_BI__Scenario__c","false","Word","4.28337E+16","Word"
"a5rWD000000C8sTYAS","005al00000RVcKvAAL","false","FM060 Prec Sub Deed Single Loan","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.28577E+16","Word"
"a5rWD000000C8sUYAS","005al00000RVcKvAAL","false","FM044 Business Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","4.28597E+16","Word"
"a5rWD000000C8sVYAS","005al00000RVcKvAAL","false","Consumer - Counter Offer- Amount/Term","","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","true","Word","4.28723E+16","PDF"
"a5rWD000000C8sWYAS","005al00000RVcKvAAL","false","FM011 Drawdown Instructions","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.28764E+16","Word"
"a5rWD000000C8sXYAS","005al00000RVcKvAAL","false","LT007 Fixed Rate Letter","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2906E+16","Word"
"a5rWD000000C8sYYAS","005al00000RVcKvAAL","false","Review Credit Memo","Review Credit Memo","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Review__c","false","HTML","4.29398E+16","HTML"
"a5rWD000000C8sZYAS","005al00000RVcKvAAL","false","FM054 Prec Deed of Priority Mortgage Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29415E+16","Word"
"a5rWD000000C8saYAC","005al00000RVcKvAAL","false","FM062 Business Monitoring Checklist","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29445E+16","Word"
"a5rWD000000C8sbYAC","005al00000RVcKvAAL","false","Adverse Action Letter-01","Loan Description-01","true","true","","General","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","4.29458E+16","HTML"
"a5rWD000000C8scYAC","005al00000RVcKvAAL","false","FM050 Prec Corporate Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29478E+16","Word"
"a5rWD000000C8sdYAC","005al00000RVcKvAAL","false","Consumer Adverse Action- Borrower","","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29629E+16","PDF"
"a5rWD000000C8seYAC","005al00000RVcKvAAL","false","FM057 Prec Legal Charge","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29677E+16","Word"
"a5rWD000000C8sfYAC","005al00000RVcKvAAL","false","FM030 How We Work with you","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29687E+16","Word"
"a5rWD000000C8sgYAC","005al00000RVcKvAAL","false","Commitment Letter / Term Sheet","Generic Term Sheet","true","true","","General","true","PDF","Inches","","LLC_BI__Loan__c","false","Word","4.29721E+16","PDF"
"a5rWD000000C8shYAC","005al00000RVcKvAAL","false","Test TISA Silver Checking","","true","true","{{IF=""A""}} {{COND=""A"" FIELD=""LLC_BI__Deposit__c.LLC_BI__Product__c"" IS=""Silver Checking""}} {{ENDIF}}","General","true","Word","Inches","","LLC_BI__Deposit__c","false","Word","4.29742E+16","PDF"
"a5rWD000000C8siYAC","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42009267194574885","Word"
"a5rWD000000C8sjYAC","005al00000RVcKvAAL","false","FM045 Personal Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","42020628188281799","Word"
"a5rWD000000C8skYAC","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42023401456451523","Word"
"a5rWD000000C8slYAC","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42028197850756603","Word"
"a5rWD000000C8smYAC","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42037817115829531","PDF"
"a5rWD000000C8raYAC","005al00000RVcKvAAL","false","Test-QA-Forms","Test-QA-Forms","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","42038829409225603","HTML"
"a5rWD000000C8snYAC","005al00000RVcKvAAL","false","FM055 Prec Joint & Several Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42042411914089768","Word"
"a5rWD000000C8soYAC","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42051313016927790","PDF"
"a5rWD000000C8spYAC","005al00000RVcKvAAL","false","LT018 Removal of Financial Covenant","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42055857134633902","Word"
"a5rWD000000C8sqYAC","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42059793144361469","PDF"
"a5rWD000000C8srYAC","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42068779779325290","PDF"
"a5rWD000000C8ssYAC","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42069997663150289","Word"
"a5rWD000000C8stYAC","005al00000RVcKvAAL","false","LT014 Consent to Lease","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42071020276903292","Word"
"a5rWD000000C8suYAC","005al00000RVcKvAAL","false","FM075 Trust Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42071893641479859","Word"
"a5rWD000000C8svYAC","005al00000RVcKvAAL","false","FM072 Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42077403542149912","Word"
"a5rWD000000C8wOYAS","005al00000RVcKvAAL","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42081037088623546","HTML"
"a5rWD000000C8swYAC","005al00000RVcKvAAL","false","FM051 Prec Cross Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42082116380538887","Word"
"a5rWD000000C8sxYAC","005al00000RVcKvAAL","false","FM027 Indicative Offer","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42093767436381363","Word"
"a5rWD000000C8syYAC","005al00000RVcKvAAL","false","LT019 Undertaking/Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42097967735116771","Word"
