"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a4eWD000000f5AFYAY","005al00000RVvFOAA1","false","Loan Assistant","","TEAM_ROLES","42146639854510830"
"a4eWD000000f5AGYAY","005al00000Q6IbCAAV","false","Loan Processor","","TEAM_ROLES","42353013574271057"
"a4eWD000000f5AHYAY","005al00000Q6IbCAAV","false","Document Specialist","","TEAM_ROLES","42904076123240639"
"a4eWD000000rN9mYAE","005al00000RVcKvAAL","false","Borrower","Primary borrower responsible for the loan obligation","","ROLE_BRW01"
"a4eWD000000rN9oYAE","005al00000RVcKvAAL","false","Co-Borrower","Secondary borrower sharing responsibility for the loan","","ROLE_CBR03"
"a4eWD000000rN9pYAE","005al00000RVcKvAAL","false","Collateral Owner","Owner of collateral pledged against the credit facility","","ROLE_COW04"
"a4eWD000000rN9nYAE","005al00000RVcKvAAL","false","Guarantor","Individual or entity guaranteeing repayment of the loan","","ROLE_GRT02"
"a4eWD000000rN9lYAE","005al00000RVcKvAAL","false","Trustee","Fiduciary party managing assets on behalf of the trust","","ROLE_TRS05"
"a4eWD000000f5AEYAY","005al00000Q6IbCAAV","false","Credit Analyst / Underwriter","","TEAM_ROLES","a1nal00000H3k69AAB"
"a4eWD000000f5AIYAY","005al00000Q6IbCAAV","false","Closer","","TEAM_ROLES","a1nal00000H3k6AAAR"
"a4eWD000000f5AJYAY","005al00000Q6IbCAAV","false","Portfolio Manager","","TEAM_ROLES","a1nal00000H3k6BAAR"
"a4eWD000000f5AKYAY","005al00000Q6IbCAAV","false","Loan Ops","","TEAM_ROLES","a1nal00000H3k6CAAR"
"a4eWD000000f5ADYAY","005al00000Q6IbCAAV","false","Loan Officer","","TEAM_ROLES","a1nal00000H3k6DAAR"
"a4eWD000000tVftYAE","005al00000RVvFOAA1","false","Credit Analyst / Underwriter","","TEAM_ROLES","a1nbn000001OLhLAAW"
"a4eWD000000tVfuYAE","005al00000RVvFOAA1","false","Closer","","TEAM_ROLES","a1nbn000001OLhMAAW"
"a4eWD000000tVfvYAE","005al00000RVvFOAA1","false","Portfolio Manager","","TEAM_ROLES","a1nbn000001OLhNAAW"
"a4eWD000000tVfwYAE","005al00000RVvFOAA1","false","Loan Approver","","","a1nbn000001OLhOAAW"
"a4eWD000000tVfxYAE","005al00000RVvFOAA1","false","Loan Approver Queue","","","a1nbn000001OLhPAAW"
"a4eWD000000tVfyYAE","005al00000RVvFOAA1","false","Loan Ops","","TEAM_ROLES","a1nbn000001OLhQAAW"
"a4eWD000000tVfzYAE","005al00000RVvFOAA1","false","Loan Officer","","TEAM_ROLES","a1nbn000001OLhRAAW"
"a4eWD000000tVg0YAE","005al00000RVvFOAA1","false","Special Assets","","TEAM_ROLES","a1nbn000001OLhSAAW"
"a4eWD000000saHpYAI","005al00000RVcKvAAL","false","Universal Banker","","Team_Member__c","a3Wam000000DHPdEAO"
"a4eWD000000saHqYAI","005al00000RVcKvAAL","false","Underwriter","","Team_Member__c","a3Wam000000DHPeEAO"
"a4eWD000000saHrYAI","005al00000RVcKvAAL","false","Processor","","Team_Member__c","a3Wam000000DHPfEAO"
"a4eWD000000saHsYAI","005al00000RVcKvAAL","false","Doc Prep","","Team_Member__c","a3Wam000000DHPgEAO"
"a4eWD000000saHtYAI","005al00000RVcKvAAL","false","Relationship Manager","","Team_Member__c","a3Wam000000DHPhEAO"
"a4eWD000000saHuYAI","005al00000RVcKvAAL","false","Approving Manager","","Team_Member__c","a3Wam000000DHPiEAO"
