"Id","IsDeleted","Name","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Active__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c"
"a0Xam00000AkbuzEAB","false","RER00009","a0Vam00000Q5Rl0EAF","true","","","WK_Auto_Launch","300am00000riHk1AAE","nFORCE.FlowRuleEngine:rule-engine","2021-10-17","42048563337471139"
"a0Xam00000AkbuyEAB","false","RER00008","a0Vam00000Q5RkvEAF","true","","","InspectionPlaceholder","300am00000riIk7AAE","nFORCE.FlowRuleEngine:rule-engine","2020-09-01","42090685926872421"
"a0Xam00000Akbv1EAB","false","RER00011","a0Vam00000Q5Rl1EAF","true","","","Application_Eligibility","300am00000riIlNAAU","nFORCE.LocalFlowRuleEngine:rule-engine","2025-02-01","42799750014930964"
"a0Xam00000Akbv0EAB","false","RER00010","a0Vam00000Q5RkzEAF","true","","","Retail_Pricing_1","300am00000riIl2AAE","nFORCE.LocalFlowRuleEngine:rule-engine","2023-09-29","42921267445133187"
"a0Xam00000AkburEAB","false","RER00002","a0Vam00000Q5RksEAF","true","","","Retrieve_Pricing_Options_for_Mortgage_Retail_and_Commercial","300am00000riHiwAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkburEAB"
"a0Xam00000AkbusEAB","false","RER00003","a0Vam00000Q5RkwEAF","true","","","Display_Offers","300am00000riHjqAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-22","a0Xam00000AkbusEAB"
"a0Xam00000AkbutEAB","false","RER00004","a0Vam00000Q5RktEAF","true","","","Master_LoanAutoDecision","300am00000riIkEAAU","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbutEAB"
"a0Xam00000AkbuuEAB","false","RER00007","a0Vam00000Q5RkrEAF","true","","","Credit_Card_Calc_Credit_Limit","300am00000riIk5AAE","nFORCE.FlowRuleEngine:rule-engine","2020-05-01","a0Xam00000AkbuuEAB"
"a0Xam00000AkbuvEAB","false","RER00001","a0Vam00000Q5RkxEAF","true","","","Generate_Proposed_Pricing_Option","300am00000riHiyAAE","nFORCE.FlowRuleEngine:rule-engine","2020-02-01","a0Xam00000AkbuvEAB"
"a0Xam00000AkbuwEAB","false","RER00005","a0Vam00000Q5RkyEAF","true","","","Credit_Request_Preprocessing","300am00000riHiuAAE","nFORCE.FlowRuleEngine:rule-engine","2019-10-25","a0Xam00000AkbuwEAB"
"a0Xam00000AkbuxEAB","false","RER00006","a0Vam00000Q5RkuEAF","true","","","LoanAutoPolExc","300am00000riHj3AAE","nFORCE.FlowRuleEngine:rule-engine","2020-04-20","a0Xam00000AkbuxEAB"
