"Id","OwnerId","IsDeleted","Name","LLC_BI__EmailTemplate__c","LLC_BI__Email_Template_Purpose__c","LLC_BI__Institution__c","LLC_BI__lookupKey__c"
"a2gWE000001Zc5HYAS","005al00000RVcKvAAL","false","ETI-000000038","00X5f000001A2BcEAK","","a31WE000001anGHYAY","ETINST_001"
"a2gWE000001Zc5IYAS","005al00000RVcKvAAL","false","ETI-000000039","00X5f000001A3DfEAK","","a31WE000001anGIYAY","ETINST_002"
"a2gWE000001Zc5JYAS","005al00000RVcKvAAL","false","ETI-000000040","00X5f000001A4GhEAK","","a31WE000001anGJYAY","ETINST_003"
"a2gWE000001Zc5KYAS","005al00000RVcKvAAL","false","ETI-000000041","00X5f000001A5JkEAK","","a31WE000001anGKYAY","ETINST_004"
"a2gWE000001Zc5LYAS","005al00000RVcKvAAL","false","ETI-000000042","00X5f000001A6MnEAK","","a31WE000001anGLYAY","ETINST_005"
"a2gWE000001Zc5MYAS","005al00000RVcKvAAL","false","ETI-000000043","Payment Reminder","","a31WE000001anGBYAY","ETI_0002"
"a2gWE000001Zc5NYAS","005al00000RVcKvAAL","false","ETI-000000044","Document Request","","a31WE000001anGDYAY","ETI_0004"
"a2gWE000001Zc5OYAS","005al00000RVcKvAAL","false","ETI-000000045","00X5f000001A2B3C","","a31WE000001anGHYAY","ETI_001"
"a2gWE000001Zc5PYAS","005al00000RVcKvAAL","false","ETI-000000046","Payment Reminder","","a31WE000001anGBYAY","ETI_002"
"a2gWE000001Zc5QYAS","005al00000RVcKvAAL","false","ETI-000000047","00X5f000001G7H8I","","a31WE000001anGJYAY","ETI_003"
"a2gWE000001Zc5RYAS","005al00000RVcKvAAL","false","ETI-000000048","00X5f000001J9K0L","","a31WE000001anGKYAY","ETI_004"
"a2gWE000001Zc5SYAS","005al00000RVcKvAAL","false","ETI-000000049","00X5f000001M1N2O","","a31WE000001anGLYAY","ETI_005"
"a2gWE000001XG0bYAG","005al00000RVcKvAAL","false","ETI-000000010","00X3g000000QlqH","Account Document Assigned - Bulk","a31WE000001anG9YAI","a4o3g000000k9wvAAA"
"a2gWE000001XG0cYAG","005al00000RVcKvAAL","false","ETI-000000011","00X3g000000QlqIEAS","Account Document Rejected-arun","a31WE000001anG9YAI","a4o3g000000k9wwAAA"
"a2gWE000001XG0dYAG","005al00000RVcKvAAL","false","ETI-000000012","00X3g000000QlqJ","Borrower Added (Existing)","a31WE000001anG9YAI","a4o3g000000k9wxAAA"
"a2gWE000001XG0eYAG","005al00000RVcKvAAL","false","ETI-000000013","00X3g000000QlqK","Borrower Added (New)","a31WE000001anG9YAI","a4o3g000000k9wyAAA"
"a2gWE000001XG0fYAG","005al00000RVcKvAAL","false","ETI-000000014","00X3g000000QlqL","Co-Owner Added (Existing)","a31WE000001anG9YAI","a4o3g000000k9wzAAA"
"a2gWE000001XG0gYAG","005al00000RVcKvAAL","false","ETI-000000015","00X3g000000QlqM","Co-Owner Added (New)","a31WE000001anG9YAI","a4o3g000000k9x0AAA"
"a2gWE000001XG0hYAG","005al00000RVcKvAAL","false","ETI-000000016","00X3g000000QlqO","Deposit Documents Assigned","a31WE000001anG9YAI","a4o3g000000k9x1AAA"
"a2gWE000001XG0iYAG","005al00000RVcKvAAL","false","ETI-000000017","00X3g000000QlqN","Deposit Document Rejected","a31WE000001anG9YAI","a4o3g000000k9x2AAA"
"a2gWE000001XG0jYAG","005al00000RVcKvAAL","false","ETI-000000018","00X3g000000Qlq3","Guarantor Added (Existing)","a31WE000001anG9YAI","a4o3g000000k9x3AAA"
"a2gWE000001XG0kYAG","005al00000RVcKvAAL","false","ETI-000000019","00X3g000000Qlq4","Guarantor Added (New)","a31WE000001anG9YAI","a4o3g000000k9x4AAA"
"a2gWE000001XG0lYAG","005al00000RVcKvAAL","false","ETI-000000020","00X3g000000Qlq6","Loan Document Assigned Email - Bulk","a31WE000001anG9YAI","a4o3g000000k9x5AAA"
"a2gWE000001XG0mYAG","005al00000RVcKvAAL","false","ETI-000000021","00X3g000000QlqP","Loan Document Rejected Email","a31WE000001anG9YAI","a4o3g000000k9x6AAA"
"a2gWE000001XG0nYAG","005al00000RVcKvAAL","false","ETI-000000022","00X3g000000QlqD","Save and Continue","a31WE000001anG9YAI","a4o3g000000k9x7AAA"
"a2gWE000001Zc53YAC","005al00000RVcKvAAL","false","ETI-000000024","00X3g000000QlqH","Account Document Assigned - Bulk","a31WE000001jFDdYAM","a4o3g000000k9x8AAA"
"a2gWE000001Zc54YAC","005al00000RVcKvAAL","false","ETI-000000025","00X3g000000QlqIEAS","Account Document Rejected","a31WE000001jFDdYAM","a4o3g000000k9x9AAA"
"a2gWE000001Zc55YAC","005al00000RVcKvAAL","false","ETI-000000026","00X3g000000QlqJ","Borrower Added (Existing)","a31WE000001jFDdYAM","a4o3g000000k9xAAAQ"
"a2gWE000001Zc56YAC","005al00000RVcKvAAL","false","ETI-000000027","00X3g000000QlqK","Borrower Added (New)","a31WE000001jFDdYAM","a4o3g000000k9xBAAQ"
"a2gWE000001Zc57YAC","005al00000RVcKvAAL","false","ETI-000000028","00X3g000000Qlq3","Co-Owner Added (Existing)","a31WE000001jFDdYAM","a4o3g000000k9xCAAQ"
"a2gWE000001Zc58YAC","005al00000RVcKvAAL","false","ETI-000000029","00X3g000000Qlq4","Co-Owner Added (New)","a31WE000001jFDdYAM","a4o3g000000k9xDAAQ"
"a2gWE000001Zc59YAC","005al00000RVcKvAAL","false","ETI-000000030","00X3g000000QlqO","Deposit Documents Assigned","a31WE000001jFDdYAM","a4o3g000000k9xEAAQ"
"a2gWE000001Zc5AYAS","005al00000RVcKvAAL","false","ETI-000000031","00X3g000000QlqN","Deposit Document Rejected","a31WE000001jFDdYAM","a4o3g000000k9xFAAQ"
"a2gWE000001Zc5BYAS","005al00000RVcKvAAL","false","ETI-000000032","00X3g000000QlqL","Guarantor Added (Existing)","a31WE000001jFDdYAM","a4o3g000000k9xGAAQ"
"a2gWE000001Zc5CYAS","005al00000RVcKvAAL","false","ETI-000000033","00X3g000000QlqM","Guarantor Added (New)","a31WE000001jFDdYAM","a4o3g000000k9xHAAQ"
"a2gWE000001Zc5DYAS","005al00000RVcKvAAL","false","ETI-000000034","00X3g000000Qlq6","Loan Document Assigned Email - Bulk","a31WE000001jFDdYAM","a4o3g000000k9xIAAQ"
"a2gWE000001Zc5GYAS","005al00000RVcKvAAL","false","ETI-000000037","00X3g000000QlqP","Loan Document Rejected Email","a31WE000001jFDdYAM","a4o3g000000k9xJAAQ"
"a2gWE000001Zc5EYAS","005al00000RVcKvAAL","false","ETI-000000035","00X3g000000QlqD","Save and Continue","a31WE000001jFDdYAM","a4o3g000000k9xKAAQ"
"a2gWE000001Zc5FYAS","005al00000RVcKvAAL","false","ETI-000000036","00X3g000000Qlpv","","a31WE000001jFDdYAM","dth56htrshrgerrh5"
"a2gWE000001XG0oYAG","005al00000RVcKvAAL","false","ETI-000000023","00X4T000000GTs7","null","a31WE000001anG9YAI","dth56htrshrh5"
