"Id","OwnerId","IsDeleted","Name","LLC_BI__Brand__c","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WE000001anG9YAI","005al00000RVcKvAAL","false","nSight Financial","a0CWE000072MhAR2A0","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WE000001cxktYAA","005al00000RVcKvAAL","false","Summit Financial Group","a0CWE00007FeFCF2A3","/summitfinancial","Summit Financial Client Hub","0DB5f000000KLMNO","D5G8J2L4Q7V1Z9X6F","D5G8J2L4Q7V1Z9X6F","LLC_BI__Institution_Manager",""
"a31WE000001cxkuYAA","005al00000RVcKvAAL","false","First National Bank","a0CWE00007FeFCE2A3","/firstnational","First National Community Portal","0DB5f000000XYZAB","H7K2M9R4P1N8V3Q6X","H7K2M9R4P1N8V3Q6X","LLC_BI__Institution_Admin",""
"a31WE000001anGAYAY","005al00000RVcKvAAL","false","First National Bank","a0CWE000072MhAS2A0","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WE000001anGBYAY","005al00000RVcKvAAL","false","Heritage Credit Union","a0CWE000072MhAT2A0","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WE000001anGCYAY","005al00000RVcKvAAL","false","Midwest Savings Bank","a0CWE000072MhAU2A0","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WE000001anGDYAY","005al00000RVcKvAAL","false","Pacific Coast Financial","a0CWE000072MhAV2A0","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WE000001anGEYAY","005al00000RVcKvAAL","false","Summit Federal Bank","a0CWE000072MhAW2A0","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WE000001anGFYAY","005al00000RVcKvAAL","false","First National Bank","a0CWE000072MhAX2A0","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WE000001anGGYAY","005al00000RVcKvAAL","false","Heritage Credit Union","a0CWE000072MhAY2A0","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WE000001anGHYAY","005al00000RVcKvAAL","false","First National Bank","a0CWE000072MhAZ2A0","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
"a31WE000001anGIYAY","005al00000RVcKvAAL","false","Heritage Credit Union","a0CWE000072MhAa2AK","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access",""
"a31WE000001anGJYAY","005al00000RVcKvAAL","false","Summit Commercial Lending","a0CWE000072MhAb2AK","/commercial","Summit Commercial Portal","0DB5x000003GHI","INST_003","INST_003","LLC_BI__Commercial_Lender",""
"a31WE000001anGKYAY","005al00000RVcKvAAL","false","Heritage Mortgage Corp","a0CWE000072MhAc2AK","/mortgage","Heritage Mortgage Center","0DB5x000004JKL","INST_004","INST_004","LLC_BI__Mortgage_Originator",""
"a31WE000001anGLYAY","005al00000RVcKvAAL","false","Westlake Trust & Wealth","a0CWE000072MhAe2AK","/westlake","Westlake Wealth Community","0DB5f000000HIJKL","INST_005","WESTLAKE_TRUST_05","Westlake_Wealth_Advisor",""
"a31WE000001mq5NYAQ","005al00000RVcKvAAL","false","First National Bank","a0CWE00007UCapP2AT","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST_FNB01","INST_FNB01","FNB_Institution_Access",""
"a31WE000001mq5OYAQ","005al00000RVcKvAAL","false","Meridian Savings & Loan","a0CWE00007UCapW2AT","/meridian-portal","Meridian Partner Community","0DB5f000000QRSTU","INST_MSL02","INST_MSL02","Meridian_Institution_Access",""
"a31WE000001anGMYAY","005al00000RVcKvAAL","false","Pacific Trust Credit Union","a0CWE000072MhAd2AK","/pacifictrust","Pacific Trust Portal","0DB5x000000EFGH","INST_PTC02","INST_PTC02","LLC_BI__Partner_Institution_Access",""
"a31WE000001cxkrYAA","005al00000RVcKvAAL","false","Valley Commerce Bank","a0CWE00007FeFCH2A3","/valleycommerce","Valley Commerce Business Portal","0DB5f000000PQRST","M1N4T7Y2H5K8P3W6B","M1N4T7Y2H5K8P3W6B","LLC_BI__Community_Admin",""
"a31WE000001cxksYAA","005al00000RVcKvAAL","false","Heartland Savings Bank","a0CWE00007FeFCG2A3","/heartlandsavings","Heartland Savings Online","0DB5f000000FGHIJ","R8P4N1X7B3K6M9S2Y","R8P4N1X7B3K6M9S2Y","LLC_BI__Institution_Read_Only",""
"a31WE000001cxkvYAA","005al00000RVcKvAAL","false","Pacific Coast Credit Union","a0CWE00007FeFCD2A3","/pacificcoast","Pacific Coast Member Portal","0DB5f000000ABCDE","W3T6L9F2D5A8C1G4J","W3T6L9F2D5A8C1G4J","LLC_BI__Community_User",""
"a31WE000001jFDdYAM","005al00000RVcKvAAL","false","nSight Financial Personal","a0CWE00007UCaow2AD","CustomerPortal2","Customer Portal 2","","g67rtfthf5y7","","nSightFinancialPersonal_Community",""
