"Id","OwnerId","IsDeleted","Name","LLC_BI__Community_Extension__c","LLC_BI__Community_Name__c","LLC_BI__Community_Network_ID__c","LLC_BI__Look_Up_Key__c","LLC_BI__LookupKey__c","LLC_BI__Permission_Set__c","AutorabitExtId__c"
"a31WD000001k07hYAA","005al00000RVcKvAAL","false","nSight Financial","CustomerPortal","Customer Portal","null","34652546354g5","null","nSightFinancial_Community",""
"a31WD000002C6tJYAS","005al00000RVcKvAAL","false","Summit Financial Group","/summitfinancial","Summit Financial Client Hub","0DB5f000000KLMNO","D5G8J2L4Q7V1Z9X6F","D5G8J2L4Q7V1Z9X6F","LLC_BI__Institution_Manager",""
"a31WD000002C6tKYAS","005al00000RVcKvAAL","false","First National Bank","/firstnational","First National Community Portal","0DB5f000000XYZAB","H7K2M9R4P1N8V3Q6X","H7K2M9R4P1N8V3Q6X","LLC_BI__Institution_Admin",""
"a31WD000001xaenYAA","005al00000RVcKvAAL","false","First National Bank","/firstnational","First National Community","0DB5x000000AAAA","INST00001","INST00001","FNB_Portal_User",""
"a31WD000001xaeoYAA","005al00000RVcKvAAL","false","Heritage Credit Union","/heritagecu","Heritage CU Portal","0DB5x000000BBBB","INST00002","INST00002","HCU_Community_Access",""
"a31WD000001xaepYAA","005al00000RVcKvAAL","false","Midwest Savings Bank","/midwestsavings","Midwest Savings Online","0DB5x000000CCCC","INST00003","INST00003","MSB_External_User",""
"a31WD000001xaeqYAA","005al00000RVcKvAAL","false","Pacific Coast Financial","/pacificcoast","Pacific Coast Community","0DB5x000000DDDD","INST00004","INST00004","PCF_Partner_Access",""
"a31WD000001xaerYAA","005al00000RVcKvAAL","false","Summit Federal Bank","/summitfederal","Summit Federal Portal","0DB5x000000EEEE","INST00005","INST00005","SFB_Borrower_Portal",""
"a31WD000001xaesYAA","005al00000RVcKvAAL","false","First National Bank","/fnb-portal","FNB Customer Community","0DB5f000000XYZAB","INST0001","INST0001","FNB_Community_User",""
"a31WD000001xaetYAA","005al00000RVcKvAAL","false","Heritage Credit Union","/hcu-portal","Heritage Member Community","0DB5f000000QRSCD","INST0002","INST0002","HCU_Community_User",""
"a31WD000001xaeuYAA","005al00000RVcKvAAL","false","First National Bank","fnb-portal","FNB Community","0DB5f000000XABC","INST_001","INST_001","FNB_Portal_Access",""
"a31WD000001xaevYAA","005al00000RVcKvAAL","false","Heritage Credit Union","hcu-portal","Heritage CU Community","0DB5f000000XDEF","INST_002","INST_002","HCU_Portal_Access",""
"a31WD000001xaewYAA","005al00000RVcKvAAL","false","Summit Commercial Lending","/commercial","Summit Commercial Portal","0DB5x000003GHI","INST_003","INST_003","LLC_BI__Commercial_Lender",""
"a31WD000001xaexYAA","005al00000RVcKvAAL","false","Heritage Mortgage Corp","/mortgage","Heritage Mortgage Center","0DB5x000004JKL","INST_004","INST_004","LLC_BI__Mortgage_Originator",""
"a31WD000001xaeyYAA","005al00000RVcKvAAL","false","Westlake Trust & Wealth","/westlake","Westlake Wealth Community","0DB5f000000HIJKL","INST_005","WESTLAKE_TRUST_05","Westlake_Wealth_Advisor",""
"a31WD000001xaezYAA","005al00000RVcKvAAL","false","Pacific Trust Credit Union","/pacifictrust","Pacific Trust Portal","0DB5x000000EFGH","INST_PTC02","INST_PTC02","LLC_BI__Partner_Institution_Access",""
"a31WD000002C6tLYAS","005al00000RVcKvAAL","false","Valley Commerce Bank","/valleycommerce","Valley Commerce Business Portal","0DB5f000000PQRST","M1N4T7Y2H5K8P3W6B","M1N4T7Y2H5K8P3W6B","LLC_BI__Community_Admin",""
"a31WD000002C6tMYAS","005al00000RVcKvAAL","false","Heartland Savings Bank","/heartlandsavings","Heartland Savings Online","0DB5f000000FGHIJ","R8P4N1X7B3K6M9S2Y","R8P4N1X7B3K6M9S2Y","LLC_BI__Institution_Read_Only",""
"a31WD000002C6tNYAS","005al00000RVcKvAAL","false","Pacific Coast Credit Union","/pacificcoast","Pacific Coast Member Portal","0DB5f000000ABCDE","W3T6L9F2D5A8C1G4J","W3T6L9F2D5A8C1G4J","LLC_BI__Community_User",""
