"Id","OwnerId","IsDeleted","Name","nFORCE__Agreement_Text__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Document__c","nFORCE__Review_And_Accept_Document__c","nFORCE__Route__c","nFORCE__lookupKey__c"
"a0kWD000005bHdPYAU","005al00000RVcKvAAL","false","E-Sign Agreement","I consent to receive electronic communications and transactions from nCino Demo Bank.","","","0155f000000Wb7d","true","a0mWD000003RDmwYAG","26511666029077879"
"a0kWD000005bHdQYAU","005al00000RVcKvAAL","false","Sample All In One Disclosure","Please review and accept the terms of this {0}.","","","0154S0000000tmq","true","a0mWD000003RDl6YAG","42011415873586934"
"a0kWD000005bHdRYAU","005al00000RVcKvAAL","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","","","x","false","a0mWD000003RDndYAG","42063010710328926"
"a0kWD000005bHdSYAU","005al00000RVcKvAAL","false","Sample Consent","I consent to receive electronic communications and transactions from nCino Demo Bank.","","","4ergsad4gs","false","a0mWD000003RDkLYAW","42236359093427903"
"a0kWD000005bHdTYAU","005al00000RVcKvAAL","false","Credit Consent","I have read the {0} document and authorize Demo Bank to pull my credit.","","","0","false","a0mWD000003RDkFYAW","42394404889756043"
"a0kWD000005bHdUYAU","005al00000RVcKvAAL","false","Sample Consent","I consent to receive electronic communications and transactions from nCino Demo Bank.","","","0","false","a0mWD000003RDkdYAG","42492542544276623"
"a0kWD000005bHdVYAU","005al00000RVcKvAAL","false","Credit Consent","I agree to the credit consent report and authorize TigerStrike Bank to pull my credit.","","","0","false","a0mWD000003RDkdYAG","42579037291547076"
"a0kWD000005bHdWYAU","005al00000RVcKvAAL","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","","","x","false","a0mWD000003RDl6YAG","42653973224039443"
"a0kWD000005bHdXYAU","005al00000RVcKvAAL","false","E-Sign Agreement","I consent to receive electronic communications and transactions from nCino Demo Bank. {0}","","","0155f000001tJqc","false","a0mWD000003RDmnYAG","42717674538143031"
"a0kWD000005bHdYYAU","005al00000RVcKvAAL","false","Sample Route Terms","I, {0}, acknowledge that the above information is up-to-date and that {1} has reviewed {2}.","","","null","false","a0mWD000003RDnVYAW","42891312219419775"
"a0kWD000005bHdZYAU","005al00000RVcKvAAL","false","Sample Consent","I consent to receive electronic communications and transactions from Demo Bank.","","","4ergsad4gs","false","a0mWD000003RDkFYAW","42965142988363175"
"a0kWD000005bHdaYAE","005al00000RVcKvAAL","false","Sample All In One Disclosure","Please review and accept the terms of this {0}.","","","0155f000000VvvX","true","a0mWD000003RDn2YAG","46251666029077878"
"a0kWD000005bHdbYAE","005al00000RVcKvAAL","false","Privacy Policy","I acknowledge that I have read and agree to the {0}.","","","x","false","a0mWD000003RDn2YAG","76921666029077878"
"a0kWD000005bHdcYAE","005al00000RVcKvAAL","false","Credit Consent","I have read the {0} document and authorize Demo Bank to pull my credit.","","","0","false","a0mWD000003RDjgYAG","86211666029077877"
"a0kWD000005bHddYAE","005al00000RVcKvAAL","false","Joint Intent","I agree to Joint Intent","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Applying_with_Co_Applicant__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}","0","false","a0mWD000003RDjgYAG","86991666029077878"
"a0kWD000005bHdJYAU","005al00000RVcKvAAL","false","Terms and Conditions","I acknowledge and agree to these {0}.","","","0153g000000EdiX","true","a0mWD000003RDU9YAO","a0O3g000000aj43EAA"
"a0kWD000005bHdKYAU","005al00000RVcKvAAL","false","Privacy Policy","I have read this {0} and agree to its terms.","","","0153g000000EdiY","false","a0mWD000003RDU9YAO","a0O3g000000aj44EAA"
"a0kWD000005bHdLYAU","005al00000RVcKvAAL","false","Terms and Conditons","I acknowledge and agree to these {0}.","","","0153g000000EdiX","true","a0mWD000003RDYYYA4","a0O3g000000aj4FEAQ"
"a0kWD000005bHdMYAU","005al00000RVcKvAAL","false","Privacy Policy","I have read this {0} and agree to its terms.","","","0153g000000EdiY","false","a0mWD000003RDYYYA4","a0O3g000000aj4GEAQ"
"a0kWD000005bHdNYAU","005al00000RVcKvAAL","false","Terms and Conditons","I acknowledge and agree to these {0}.","","","0153g000000EdiX","true","a0mWD000003RDTgYAO","a0O3g000000aj4HEAQ"
"a0kWD000005bHdOYAU","005al00000RVcKvAAL","false","Privacy Policy","I have read this {0} and agree to its terms.","","","0153g000000EdiY","false","a0mWD000003RDTgYAO","a0O3g000000aj4IEAQ"
