"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWD000003bQ8SYAU","false","RER00036","","","","","","","2031-06-06","Master_LoanAutoDecision","","","","","","a0nWD0000018DsdYAE","false","",""
"a0pWD000003bQ8TYAU","false","RER00037","","","","","","","2028-06-05","InspectionPlaceholder","","","","","","a0nWD0000018DscYAE","true","CLA Inspection placeholder in Document Manager",""
"a0pWD000003bQ8RYAU","false","RER00035","","","","","","","2028-06-05","InspectionPlaceholder","","","","","","a0nWD0000018DsXYAU","true","CLA Inspection placeholder in Document Manager
SRC-02",""
"a0pWD000003bQ8JYAU","false","RER00027","","","","","","","","Insert-InspectionPlaceholder","","","","","","a0nWD0000018DscYAE","true","CLA Inspection placeholder in Document Manager-01",""
"a0pWD000003bQ8MYAU","false","RER00030","","","","","","","","Initial_Credit_Request_Preprocssing","","","","","","a0nWD0000018DsUYAU","true","CLA Inspection placeholder in Document Manager-01",""
"a0pWD000003bQ8KYAU","false","RER00028","","","","","","","","Lightning-Record-103","","","","","","a0nWD0000018DsLYAU","true","CLA Inspection placeholder in Document Manager-02",""
"a0pWD000003bQ8NYAU","false","RER00031","","","","","","","","Lightning-Record-001","","","","","","a0nWD0000018DsLYAU","true","CLA Inspection placeholder in Document Manager-02",""
"a0pWD000003bQ8IYAU","false","RER00026","","","","","","","2025-05-03","Lightning-Record-001","","","","","","a0nWD0000018DsLYAU","false","Lightning-Record-001",""
"a0pWD000003bQ8HYAU","false","RER00025","","","","","","","2025-03-31","Lightning-Record-002-RuleEngine","","","","","","a0nWD0000018DsOYAU","false","Lightning-Record-002-RuleEngineDescription",""
"a0pWD000003bQ8QYAU","false","RER00034","","","","","","","2031-06-06","Master_LoanAutoDecision","","","","","","a0nWD0000018DsQYAU","false","SRC-01",""
"a0pWD000003bQ8HYAU","false","RER00025","","","a0nWD0000018DsOYAU","Lightning-Record-002-RuleEngineDescription","2025-03-31","Lightning-Record-002-RuleEngine","Lightning-Record-002-Ref","Lightning-Record-002-Rule","2024-04-01","098654298012","false"
"a0pWD000003bQ8IYAU","false","RER00026","","","a0nWD0000018DsLYAU","Lightning-Record-001","2025-05-03","Lightning-Record-001","Lightning-Record-001-Ref","Lightning-Record-001-RuleEngine","2024-05-01","12378135634","false"
"a0pWD000003bQ8JYAU","false","RER00027","","","a0nWD0000018DscYAE","CLA Inspection placeholder in Document Manager-01","","Insert-InspectionPlaceholder","3008c000001JVlUAAW","Lightning-Record-103-Rule","2025-02-17","42105110371538988","true"
"a0pWD000003bQ8KYAU","false","RER00028","","","a0nWD0000018DsLYAU","CLA Inspection placeholder in Document Manager-02","","Lightning-Record-103","Lightning-Record-103-Ref","Lightning-Record-104-Rule","2025-02-17","42105120371538988","true"
"a0pWD000003bQ8LYAU","false","RER00029","","","a0nWD0000018DseYAE","","2042-03-31","Initial_Credit_Request_Preprocessing","3005f000001YRNSAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42105220371538988","true"
"a0pWD000003bQ8MYAU","false","RER00030","","","a0nWD0000018DsUYAU","CLA Inspection placeholder in Document Manager-01","","Initial_Credit_Request_Preprocssing","3005f000000llUtAAI","Lightning-Record-105-Rule","2025-02-17","4212510371538988","true"
